Annual Agricultural Production (Ton),2017,2018,2019,2020,2021,2022
Total,13811570,13998391,13588896,12746288,13558227,13136912
Seoul,3210,2948,2731,2527,3786,3967
Busan,63624,70881,62334,63893,71196,75742
Daegu,115066,118741,116849,119233,101231,110200
Incheon,97858,97544,100913,97318,104338,96451
Gwangju,76034,74045,65826,59172,70881,73348
Daejeon,26258,24886,22415,21748,23769,23734
Ulsan,48773,54522,44988,41960,50648,50526
Sejong,52151,48618,48055,40959,49633,54735
Gyeonggi-do,945394,959745,953011,879024,921546,900046
Gangwon-do,880911,882396,895958,873272,957564,943142
Chungcheongbuk-do,845381,857805,781075,748546,766261,776777
Chungcheongnam-do,1521717,1557187,1475227,1430291,1613781,1502388
Jeollabuk-do,1391935,1450904,1414509,1278088,1385179,1388209
Jeollanam-do,2954797,2986901,2812549,2691884,2842626,2738036
Gyeongsangbuk-do,2351694,2307966,2304068,2090609,2267530,2213954
Gyeongsangnam-do,1495747,1521716,1553069,1348109,1372122,1298173
Jeju-do,941019,981583,935317,959658,956135,887480
